course_run_key,reporting_type,announcement
course-v1:BAx+BAx1+1T2016,mooc,3/3/16
course-v1:BAx+BAx2+2T2016,mooc,6/6/16
course-v1:BAx+BAx3+1T2017,mooc,12/7/16
course-v1:BerkeleyX+BFV101.2x+3T2015,mooc,6/1/15
course-v1:BerkeleyX+BJC.12x+3T2016,mooc,7/13/16
course-v1:BerkeleyX+BJC.34x+1T2017,mooc,7/13/16
course-v1:BerkeleyX+BUSADM466.1x+2T2016,mooc,4/7/16
course-v1:BerkeleyX+BUSADM466.2x+2T2016,mooc,4/7/16
course-v1:BerkeleyX+BUSADM466.3x+3T2016,mooc,4/7/16
course-v1:BerkeleyX+BUSADM466.4x+3T2016,mooc,4/7/16
course-v1:BerkeleyX+ColWri.3.10+1T2016,mooc,1/20/15
course-v1:BerkeleyX+ColWri.3.11+1T2016,mooc,1/20/15
course-v1:BerkeleyX+ColWri.3.12x+1T2016,mooc,1/20/15
course-v1:BerkeleyX+ColWri.3.6x+3T2015,mooc,1/15/15
course-v1:BerkeleyX+ColWri.3.7x+3T2015,mooc,1/15/15
course-v1:BerkeleyX+ColWri.3.8x+3T2015,mooc,1/15/15
course-v1:BerkeleyX+ColWri.3.9x+3T2015,mooc,1/15/15
course-v1:BerkeleyX+ColWri11.1x+3T2016,mooc,9/9/16
course-v1:BerkeleyX+ColWri11.2x+1T2017,mooc,9/9/16
course-v1:BerkeleyX+ColWri11.3x+1T2017,mooc,9/9/16
course-v1:BerkeleyX+ColWri15.1x+1T2016,mooc,2/9/16
course-v1:BerkeleyX+ColWri15.2x+1T2016,mooc,2/9/16
course-v1:BerkeleyX+ColWri2.1x+3T2015,mooc,7/15/15
course-v1:BerkeleyX+ColWri2.1x+3T2016,mooc,5/25/16
course-v1:BerkeleyX+ColWri2.2x+1T2016,mooc,7/15/15
course-v1:BerkeleyX+ColWri2.2x+1T2017,mooc,5/25/16
course-v1:BerkeleyX+ColWri2.3x+1T2016,mooc,7/15/15
